"Customer_id","length"
"C241288",7
"C111565",7
"C988172",7
"C657758",7
"C362288",7
"C313348",7
"C192344",7
"C447138",7
"C176727",7
"C232624",7
"C164092",7
"C245456",7
"C607615",7
"C120164",7
"C241642",7
"C626042",7
"C962515",7
"C336576",7
"C439382",7
"C123427",7
"C236859",7
"C309926",7
"C136117",7
"C199947",7
"C135790",7
"C218383",7
"C309438",7
"C992677",7
"C584700",7
"C183011",7
"C189493",7
"C324683",7
"C307921",7
"C204174",7
"C279370",7
"C907582",7
"C276043",7
"C274870",7
"C255058",7
"C150594",7
"C200826",7
"C651699",7
"C989693",7
"C178734",7
"C223010",7
"C269623",7
"C556552",7
"C978718",7
"C208108",7
"C911768",7
"C270129",7
"C220281",7
"C172966",7
"C526660",7
"C192978",7
"C671866",7
"C848969",7
"C256730",7
"C316398",7
"C662958",7
"C545065",7
"C726021",7
"C616106",7
"C771066",7
"C372643",7
"C622748",7
"C826744",7
"C252021",7
"C647656",7
"C250065",7
"C204632",7
"C340089",7
"C555040",7
"C809281",7
"C375325",7
"C225051",7
"C165705",7
"C242659",7
"C194451",7
"C309645",7
"C221838",7
"C208738",7
"C296862",7
"C101550",7
"C329163",7
"C236428",7
"C617884",7
"C294024",7
"C790567",7
"C144628",7
"C238063",7
"C944366",7
"C462011",7
"C212400",7
"C244973",7
"C321053",7
"C567509",7
"C306892",7
"C545424",7
"C144371",7
"C402433",7
"C333065",7
"C211494",7
"C282397",7
"C129976",7
"C433234",7
"C311195",7
"C220859",7
"C217049",7
"C141094",7
"C310628",7
"C335822",7
"C653357",7
"C229733",7
"C111115",7
"C162574",7
"C291911",7
"C387164",7
"C259260",7
"C308978",7
"C258089",7
"C209440",7
"C195413",7
"C432132",7
"C289802",7
"C194330",7
"C109491",7
"C330021",7
"C100507",7
"C203955",7
"C218295",7
"C838282",7
"C167158",7
"C139231",7
"C354398",7
"C474896",7
"C222262",7
"C316261",7
"C178487",7
"C205731",7
"C171122",7
"C644605",7
"C387282",7
"C145797",7
"C162986",7
"C163444",7
"C533520",7
"C219299",7
"C247547",7
"C217919",7
"C279747",7
"C113739",7
"C245894",7
"C222949",7
"C336400",7
"C121707",7
"C297610",7
"C319935",7
"C217834",7
"C322689",7
"C210236",7
"C297118",7
"C314705",7
"C282520",7
"C319624",7
"C140543",7
"C103896",7
"C198568",7
"C215210",7
"C303444",7
"C506925",7
"C190939",7
"C129849",7
"C506663",7
"C781893",7
"C307592",7
"C283381",7
"C246641",7
"C312617",7
"C289918",7
"C322924",7
"C690345",7
"C247049",7
"C280253",7
"C131819",7
"C114347",7
"C697667",7
"C129039",7
"C297404",7
"C105060",7
"C182606",7
"C157218",7
"C807852",7
"C310310",7
"C247694",7
"C207443",7
"C216194",7
"C323349",7
"C180375",7
"C196813",7
"C242182",7
"C331182",7
"C206713",7
"C376889",7
"C293191",7
"C248510",7
"C732384",7
"C121299",7
"C289495",7
"C193824",7
"C184882",7
"C521673",7
"C240389",7
"C139077",7
"C222159",7
"C325158",7
"C120095",7
"C130462",7
"C322195",7
"C189364",7
"C150584",7
"C275695",7
"C241238",7
"C121380",7
"C285797",7
"C174330",7
"C270543",7
"C512978",7
"C812425",7
"C251062",7
"C283983",7
"C270797",7
"C266724",7
"C252265",7
"C206253",7
"C207573",7
"C795627",7
"C288298",7
"C270726",7
"C829423",7
"C111251",7
"C269506",7
"C324708",7
"C103877",7
"C132270",7
"C190709",7
"C791362",7
"C132400",7
"C249906",7
"C129846",7
"C288597",7
"C306266",7
"C199858",7
"C280853",7
"C326699",7
"C282894",7
"C131599",7
"C236711",7
"C118689",7
"C194063",7
"C177823",7
"C126647",7
"C278752",7
"C102607",7
"C808112",7
"C478668",7
"C678680",7
"C333988",7
"C110568",7
"C314993",7
"C211763",7
"C281244",7
"C240916",7
"C108007",7
"C158827",7
"C253252",7
"C242798",7
"C293612",7
"C352919",7
"C261635",7
"C316806",7
"C272133",7
"C480735",7
"C832397",7
"C230270",7
"C307870",7
"C294623",7
"C205178",7
"C264585",7
"C305734",7
"C251005",7
"C136395",7
"C238833",7
"C993876",7
"C618730",7
"C327796",7
"C304326",7
"C467287",7
"C339114",7
"C299514",7
"C210060",7
"C254397",7
"C185502",7
"C310676",7
"C709824",7
"C162162",7
"C108465",7
"C177475",7
"C502572",7
"C337111",7
"C243037",7
"C335904",7
"C280866",7
"C295880",7
"C245681",7
"C316015",7
"C201036",7
"C136714",7
"C311482",7
"C122157",7
"C369937",7
"C228472",7
"C162397",7
"C126598",7
"C187110",7
"C110267",7
"C200881",7
"C299443",7
"C582235",7
"C271297",7
"C307855",7
"C170711",7
"C101897",7
"C334601",7
"C189027",7
"C787279",7
"C284961",7
"C257213",7
"C261165",7
"C215484",7
"C176802",7
"C104728",7
"C182320",7
"C142061",7
"C119219",7
"C507725",7
"C133603",7
"C297669",7
"C324332",7
"C986930",7
"C738384",7
"C283898",7
"C237664",7
"C273853",7
"C832533",7
"C121797",7
"C135306",7
"C526385",7
"C247589",7
"C301181",7
"C195405",7
"C765432",7
"C184300",7
"C329000",7
"C478916",7
"C327954",7
"C323574",7
"C213981",7
"C682406",7
"C496393",7
"C336846",7
"C276122",7
"C894269",7
"C251281",7
"C100322",7
"C287850",7
"C330941",7
"C286611",7
"C283849",7
"C121156",7
"C115898",7
"C142672",7
"C234140",7
"C216013",7
"C878345",7
"C306089",7
"C253346",7
"C279849",7
"C197901",7
"C160452",7
"C463587",7
"C290609",7
"C275199",7
"C272918",7
"C968730",7
"C103888",7
"C828471",7
"C222728",7
"C535999",7
"C229071",7
"C524104",7
"C336350",7
"C137153",7
"C304748",7
"C403561",7
"C135204",7
"C997987",7
"C215196",7
"C493406",7
"C287764",7
"C179057",7
"C191032",7
"C245745",7
"C218079",7
"C295505",7
"C949760",7
"C290632",7
"C622329",7
"C122254",7
"C345828",7
"C126100",7
"C335595",7
"C249993",7
"C259107",7
"C140290",7
"C264545",7
"C173388",7
"C921087",7
"C143595",7
"C484681",7
"C102515",7
"C265780",7
"C137362",7
"C811884",7
"C191489",7
"C160706",7
"C273323",7
"C202633",7
"C327137",7
"C437904",7
"C314945",7
"C138767",7
"C817202",7
"C304924",7
"C615393",7
"C424443",7
"C181284",7
"C271031",7
"C264819",7
"C838623",7
"C853154",7
"C206443",7
"C227232",7
"C121211",7
"C219393",7
"C239813",7
"C177500",7
"C661696",7
"C320610",7
"C632622",7
"C399332",7
"C255079",7
"C179024",7
"C212643",7
"C198219",7
"C128031",7
"C272792",7
"C991037",7
"C536552",7
"C330584",7
"C137689",7
"C190938",7
"C338765",7
"C507408",7
"C267019",7
"C267120",7
"C667578",7
"C106775",7
"C287934",7
"C297260",7
"C144442",7
"C952467",7
"C902190",7
"C900938",7
"C807718",7
"C117351",7
"C319412",7
"C176063",7
"C318000",7
"C251944",7
"C133974",7
"C545894",7
"C809737",7
"C337177",7
"C241751",7
"C205552",7
"C113670",7
"C190639",7
"C259706",7
"C205210",7
"C146801",7
"C138609",7
"C548682",7
"C324512",7
"C206743",7
"C201015",7
"C945285",7
"C278450",7
"C223291",7
"C737656",7
"C262982",7
"C210635",7
"C311790",7
"C665061",7
"C135091",7
"C144529",7
"C987573",7
"C215627",7
"C146616",7
"C986474",7
"C254306",7
"C150500",7
"C309080",7
"C173979",7
"C273813",7
"C278554",7
"C162000",7
"C278199",7
"C291265",7
"C113448",7
"C803795",7
"C155210",7
"C275098",7
"C131953",7
"C156014",7
"C333570",7
"C301224",7
"C144326",7
"C561708",7
"C950205",7
"C729841",7
"C487444",7
"C619079",7
"C163670",7
"C109632",7
"C446782",7
"C198366",7
"C835319",7
"C262657",7
"C270949",7
"C266796",7
"C200095",7
"C223540",7
"C257256",7
"C537349",7
"C248081",7
"C172552",7
"C501134",7
"C119113",7
"C164167",7
"C805279",7
"C230231",7
"C207397",7
"C151392",7
"C124369",7
"C140342",7
"C799624",7
"C272287",7
"C778404",7
"C193054",7
"C186129",7
"C141612",7
"C124239",7
"C219684",7
"C206542",7
"C880467",7
"C314543",7
"C145966",7
"C163870",7
"C127631",7
"C525444",7
"C333346",7
"C330332",7
"C269884",7
"C311621",7
"C137747",7
"C103541",7
"C228567",7
"C214448",7
"C134704",7
"C615661",7
"C812062",7
"C194794",7
"C118461",7
"C304169",7
"C103331",7
"C226800",7
"C264632",7
"C663736",7
"C217803",7
"C310336",7
"C407728",7
"C294039",7
"C253498",7
"C204897",7
"C472457",7
"C322136",7
"C683273",7
"C269638",7
"C833483",7
"C335161",7
"C569118",7
