"Customer_id","total_revenue"
"C456798","26250"
"C314747","26250"
"C106117","26250"
"C124935","26250"
"C317416","26250"
"C291511","26250"
"C157990","26250"
"C317165","26250"
"C249355","26250"
"C226770","26250"
"C270123","26250"
"C816362","26250"
"C407634","26250"
"C763645","26250"
"C912707","26250"
"C309230","26250"
"C796010","26250"
"C213319","26250"
"C262612","26250"
"C141182","26250"
"C209116","26250"
"C155526","26250"
"C908608","26250"
"C784974","26250"
"C206477","26250"
"C159888","26250"
"C724141","26250"
"C282994","26250"
"C151388","26250"
"C257500","26250"
"C290020","26250"
"C213530","26250"
"C184279","26250"
"C184418","26250"
"C292989","26250"
"C215366","26250"
"C108281","26250"
"C660750","26250"
"C450741","26250"
"C106114","26250"
"C100607","26250"
"C284402","26250"
"C123985","26250"
"C313133","26250"
"C119065","26250"
"C239972","26250"
"C133751","26250"
"C233147","26250"
"C133108","26250"
"C708895","26250"
"C295182","26250"
"C307855","26250"
"C129305","26250"
"C235869","26250"
"C202639","26250"
"C278331","26250"
"C112976","26250"
"C143773","26250"
"C257429","26250"
"C281113","26250"
"C490589","26250"
"C769713","26250"
"C128995","26250"
"C167349","26250"
"C312206","26250"
"C235362","26250"
"C520965","26250"
"C259214","26250"
"C367398","26250"
"C165082","26250"
"C214869","26250"
"C128924","26250"
"C896930","26250"
"C501134","26250"
"C278532","26250"
"C136033","26250"
"C237512","26250"
"C456767","26250"
"C124987","26250"
"C121007","26250"
"C321785","26250"
"C150896","26250"
"C600068","26250"
"C966310","26250"
"C235463","26250"
"C323638","26250"
"C138567","26250"
"C233958","26250"
"C570986","26250"
"C121147","26250"
"C213881","26250"
"C339730","26250"
"C298450","26250"
"C231100","26250"
"C167231","26250"
"C163109","26250"
"C313026","26250"
"C269838","26250"
"C144955","26250"
"C277635","26250"
"C294800","26250"
"C248181","26250"
"C241397","26250"
"C336376","26250"
"C237772","26250"
"C292192","26250"
"C739379","26250"
"C195857","26250"
"C101667","26250"
"C312990","26250"
"C495856","26250"
"C940328","26250"
"C333065","26250"
"C134132","26250"
"C320757","26250"
"C333825","26250"
"C692911","26250"
"C255975","26250"
"C110428","26250"
"C215509","26250"
"C887721","26250"
"C197729","26250"
"C133303","26250"
"C307659","26250"
"C244777","26250"
"C298581","26250"
"C268769","26250"
"C476770","26250"
"C173088","26250"
"C151226","26250"
"C700083","26250"
"C322995","26250"
"C151667","26250"
"C734295","26250"
"C268950","26250"
"C151242","26250"
"C112480","26250"
"C546639","26250"
"C294897","26250"
"C274322","26250"
"C197637","26250"
"C434876","26250"
"C938050","26250"
"C964586","26250"
"C172893","26250"
"C112163","26250"
"C217358","26250"
"C516048","26250"
"C229774","26250"
"C678435","26250"
"C914253","26250"
"C203498","26250"
"C315132","26250"
"C184954","26250"
"C295971","26250"
"C133779","26250"
"C165933","26250"
"C228258","26250"
"C201198","26250"
"C124138","26250"
"C304579","26250"
"C561201","26250"
"C172759","26250"
"C191650","26250"
"C161592","26250"
"C237819","26250"
"C272918","26250"
"C723454","26250"
"C134578","26250"
"C607358","26250"
"C220509","26250"
"C998781","26250"
"C302896","26250"
"C859930","26250"
"C591806","26250"
"C189986","26250"
"C210564","26250"
"C231988","26250"
"C345999","26250"
"C252425","26250"
"C254963","26250"
"C299946","26250"
"C291627","26250"
"C747440","26250"
"C323204","26250"
"C299328","26250"
"C116250","26250"
"C247064","26250"
"C117569","26250"
"C465781","26250"
"C688421","26250"
"C827081","26250"
"C307128","26250"
"C111590","26250"
"C291854","26250"
"C133334","26250"
"C186458","26250"
"C292686","26250"
"C110278","26250"
"C184986","26250"
"C257933","26250"
"C160046","26250"
"C277225","26250"
"C177841","26250"
"C290780","26250"
"C318713","26250"
"C472297","26250"
"C297452","26250"
"C139743","26250"
"C182651","26250"
"C115435","26250"
"C224662","26250"
"C356815","26250"
"C334055","26250"
"C987359","26250"
"C181635","26250"
"C299342","26250"
"C621270","26250"
"C108600","26250"
"C120992","26250"
"C134690","26250"
"C219220","26250"
"C805945","26250"
"C226916","26250"
"C249357","26250"
"C174942","26250"
"C186142","26250"
"C129929","26250"
"C280781","26250"
"C553588","26250"
"C846363","26250"
"C110625","26250"
"C720497","26250"
"C558248","26250"
"C252265","26250"
"C282380","26250"
"C372908","26250"
"C559554","26250"
"C168916","26250"
"C319963","26250"
"C191360","26250"
"C423898","26250"
"C307429","26250"
"C331618","26250"
"C477683","26250"
"C166881","26250"
"C556416","26250"
"C318346","26250"
"C253002","26250"
"C553390","26250"
"C294715","26250"
"C160336","26250"
"C304610","26250"
"C626142","26250"
"C665754","26250"
"C582235","26250"
"C194985","26250"
"C212295","26250"
"C117589","26250"
"C509633","26250"
"C276782","26250"
"C151983","26250"
"C107444","26250"
"C230008","26250"
"C833811","26250"
"C168263","26250"
"C327921","26250"
"C298981","26250"
"C974144","26250"
"C276816","26250"
"C113101","26250"
"C133580","26250"
"C171414","26250"
"C104402","26250"
"C310653","26250"
"C184012","26250"
"C111986","26250"
"C265738","26250"
"C630561","26250"
"C312095","26250"
"C137641","26250"
"C299480","26250"
"C888623","26250"
"C877727","26250"
"C320950","26250"
"C259172","26250"
"C343729","26250"
"C429849","26250"
"C654298","26250"
"C258676","26250"
"C241132","26250"
"C129710","26250"
"C155485","26250"
"C142628","26250"
"C283983","26250"
"C231943","26250"
"C327120","26250"
"C347179","26250"
"C335497","26250"
"C131488","26250"
"C141141","26250"
"C166361","26250"
"C226554","26250"
"C237977","26250"
"C353990","26250"
"C146943","26250"
"C331548","26250"
"C801236","26250"
"C330951","26250"
"C591110","26250"
"C109198","26250"
"C229129","26250"
"C949801","26250"
"C746268","26250"
"C212857","26250"
"C136940","26250"
"C137197","26250"
"C751835","26250"
"C299716","26250"
"C106949","26250"
"C260322","26250"
"C244514","26250"
"C597973","26250"
"C220697","26250"
"C152749","26250"
"C687985","26250"
"C281256","26250"
"C485069","26250"
"C690199","26250"
"C114437","26250"
"C294460","26250"
"C282784","26250"
"C246514","26250"
"C596151","26250"
"C874835","26250"
"C126082","26250"
"C270317","26250"
"C571937","26250"
"C313348","26250"
"C278253","26250"
"C963324","26250"
"C129879","26250"
"C335166","26250"
"C248552","26250"
"C130770","26250"
"C217088","26250"
"C323396","26250"
"C968145","26250"
"C223731","26250"
"C288547","26250"
"C169928","26250"
"C134763","26250"
"C101216","26250"
"C109455","26250"
"C251812","26250"
"C302423","26250"
"C226327","26250"
"C194298","26250"
"C542052","26250"
"C225020","26250"
"C129984","26250"
"C209753","26250"
"C278394","26250"
"C180551","26250"
"C179802","26250"
"C149875","26250"
"C116333","26250"
"C309901","26250"
"C326946","26250"
"C117765","26250"
"C423534","26250"
"C583809","26250"
"C240613","26250"
"C258890","26250"
"C325158","26250"
"C170116","26250"
"C399576","26250"
"C898942","26250"
"C114804","26250"
"C328493","26250"
"C184265","26250"
"C353845","26250"
"C244192","26250"
"C114729","26250"
"C908646","26250"
"C715222","26250"
"C275938","26250"
"C267887","26250"
"C663637","26250"
"C176060","26250"
"C603818","26250"
"C299122","26250"
"C131511","26250"
"C308291","26250"
"C715595","26250"
"C317860","26250"
"C200666","26250"
"C157625","26250"
"C947571","26250"
"C321229","26250"
"C528185","26250"
"C339575","26250"
"C159920","26250"
"C310429","26250"
"C156726","26250"
"C134845","26250"
"C252918","26250"
"C299205","26250"
"C970822","26250"
"C252407","26250"
"C156058","26250"
"C870722","26250"
"C276116","26250"
"C283463","26250"
"C134372","26250"
"C286227","26250"
"C393570","26250"
"C260187","26250"
"C248314","26250"
"C206845","26250"
"C280787","26250"
"C208251","26250"
"C265832","26250"
"C199689","26250"
"C218617","26250"
"C309962","26250"
"C226896","26250"
"C248400","26250"
"C233284","26250"
"C290576","26250"
"C200860","26250"
"C319817","26250"
"C345046","26250"
"C116390","26250"
"C595187","26250"
"C326518","26250"
